customer_id,company_name,industry,plan_type,monthly_revenue,signup_date,churned
103,Company_103,Healthcare,Enterprise,6349,2023-02-11,0
104,Company_104,Finance,Starter,5141,2023-12-02,1
105,Company_105,Ecommerce,Starter,5888,2023-06-30,0
106,Company_106,Healthcare,Starter,7082,2023-05-17,1
107,Company_107,Education,Enterprise,2706,2023-03-22,1
108,Company_108,Healthcare,Enterprise,9017,2023-05-11,1
109,Company_109,Ecommerce,Growth,5480,2022-09-09,1
110,Company_110,Education,Starter,7813,2023-08-07,0
111,Company_111,Education,Growth,3179,2023-05-15,1
112,Company_112,Healthcare,Growth,9967,2022-10-10,0
113,Company_113,Finance,Starter,4154,2023-02-21,0
114,Company_114,Finance,Enterprise,8000,2023-10-24,0
115,Company_115,IT,Starter,5020,2022-08-15,0
116,Company_116,Ecommerce,Growth,7953,2023-07-21,0
117,Company_117,Ecommerce,Growth,5964,2023-04-10,0
118,Company_118,IT,Enterprise,3355,2022-11-20,1
119,Company_119,Finance,Starter,3745,2023-05-11,1
120,Company_120,Ecommerce,Enterprise,4836,2022-04-13,0
121,Company_121,Finance,Growth,431,2023-07-01,0
122,Company_122,IT,Enterprise,4986,2022-05-10,0
123,Company_123,IT,Enterprise,4858,2023-04-26,0
124,Company_124,IT,Growth,8027,2022-04-27,0
125,Company_125,Ecommerce,Enterprise,1078,2022-06-05,1
126,Company_126,IT,Starter,2140,2023-07-26,0
127,Company_127,Ecommerce,Starter,8761,2023-01-25,0
128,Company_128,Ecommerce,Growth,5203,2023-08-06,0
129,Company_129,IT,Starter,3657,2022-09-28,0
130,Company_130,Finance,Enterprise,1429,2022-06-10,0
131,Company_131,Ecommerce,Growth,4971,2022-02-03,1
132,Company_132,Education,Starter,4024,2022-09-28,0
133,Company_133,Finance,Growth,2080,2023-07-12,1
134,Company_134,Finance,Starter,1177,2022-06-19,1
135,Company_135,Ecommerce,Growth,7395,2022-05-08,0
136,Company_136,Healthcare,Enterprise,9047,2023-05-21,0
137,Company_137,Education,Enterprise,5480,2023-09-11,0
138,Company_138,Ecommerce,Enterprise,539,2023-11-20,0
139,Company_139,Finance,Growth,8702,2023-10-30,0
140,Company_140,Ecommerce,Growth,8256,2022-04-04,0
141,Company_141,Healthcare,Enterprise,1913,2022-06-14,0
142,Company_142,Healthcare,Enterprise,6761,2023-07-18,0
143,Company_143,Healthcare,Growth,2099,2023-02-18,0
144,Company_144,Ecommerce,Growth,6970,2022-02-25,0
145,Company_145,Education,Enterprise,7442,2022-02-22,0
146,Company_146,Healthcare,Growth,8141,2022-05-05,1
147,Company_147,Finance,Growth,9224,2022-01-15,0
148,Company_148,IT,Growth,2124,2023-10-26,1
149,Company_149,Healthcare,Enterprise,4679,2023-03-02,0
150,Company_150,Ecommerce,Starter,6484,2022-07-15,0
151,Company_151,Finance,Starter,4726,2023-03-01,0
152,Company_152,IT,Growth,5091,2023-08-25,1
153,Company_153,Education,Enterprise,8135,2022-12-20,1
154,Company_154,Education,Growth,5472,2022-07-13,0
155,Company_155,Finance,Growth,915,2022-11-22,1
156,Company_156,Education,Growth,2692,2023-05-23,1
157,Company_157,Ecommerce,Enterprise,5639,2022-04-13,0
158,Company_158,Education,Starter,2561,2023-02-24,0
159,Company_159,Healthcare,Growth,6712,2023-10-28,1
160,Company_160,Ecommerce,Growth,5388,2023-10-04,1
161,Company_161,IT,Enterprise,1321,2022-08-29,1
162,Company_162,IT,Growth,1812,2023-10-11,0
163,Company_163,Healthcare,Starter,953,2022-11-29,1
164,Company_164,Healthcare,Growth,7256,2022-05-30,0
165,Company_165,Finance,Starter,3068,2022-03-22,0
166,Company_166,Finance,Growth,9754,2022-05-27,0
167,Company_167,Education,Growth,353,2023-04-22,0
168,Company_168,Education,Growth,9826,2022-11-03,0
169,Company_169,Education,Growth,3463,2023-01-29,0
170,Company_170,Ecommerce,Growth,9617,2022-10-30,0
171,Company_171,Education,Growth,332,2023-08-03,1
172,Company_172,Education,Growth,3970,2023-09-14,0
173,Company_173,Ecommerce,Growth,2440,2023-10-06,1
174,Company_174,Healthcare,Growth,746,2023-08-17,0
175,Company_175,Healthcare,Growth,7007,2022-06-29,1
176,Company_176,Healthcare,Enterprise,8421,2022-10-07,1
177,Company_177,Education,Growth,5749,2022-04-28,0
178,Company_178,Finance,Enterprise,6711,2023-07-25,1
179,Company_179,IT,Growth,8991,2022-05-07,0
180,Company_180,Healthcare,Enterprise,6442,2023-10-16,0
181,Company_181,Education,Starter,9398,2022-12-02,0
182,Company_182,Education,Enterprise,5151,2023-10-27,0
183,Company_183,IT,Growth,8271,2022-04-29,1
184,Company_184,Ecommerce,Starter,6567,2023-04-10,0
185,Company_185,Finance,Growth,1822,2023-05-17,1
186,Company_186,Healthcare,Starter,6270,2022-08-11,1
187,Company_187,Healthcare,Starter,6218,2023-07-12,0
188,Company_188,Healthcare,Starter,2201,2023-04-11,1
189,Company_189,Ecommerce,Starter,1028,2022-12-08,1
190,Company_190,Finance,Starter,9280,2022-08-01,1
191,Company_191,Finance,Growth,2617,2023-09-03,1
192,Company_192,Finance,Starter,9050,2022-09-14,0
193,Company_193,IT,Starter,443,2023-01-02,0
194,Company_194,Finance,Growth,1058,2022-05-10,0
195,Company_195,IT,Growth,7544,2023-01-06,0
196,Company_196,IT,Growth,8454,2022-08-15,1
197,Company_197,Ecommerce,Growth,7704,2023-10-21,1
198,Company_198,Education,Growth,7184,2022-04-21,0
199,Company_199,IT,Growth,2630,2022-03-09,0
200,Company_200,Ecommerce,Enterprise,5527,2023-01-26,0
201,Company_201,Healthcare,Growth,8482,2023-09-12,1
202,Company_202,IT,Enterprise,9233,2022-08-09,1
203,Company_203,Education,Growth,7630,2023-02-13,0
204,Company_204,Healthcare,Enterprise,4376,2023-01-19,0
205,Company_205,IT,Starter,7275,2022-04-09,1
206,Company_206,Ecommerce,Starter,9808,2023-07-30,0
207,Company_207,Education,Growth,7129,2022-02-22,0
208,Company_208,IT,Enterprise,8513,2022-08-06,0
209,Company_209,IT,Growth,9313,2023-01-12,1
210,Company_210,Ecommerce,Starter,7230,2023-07-29,0
211,Company_211,Ecommerce,Starter,4581,2022-01-30,1
212,Company_212,Healthcare,Growth,5951,2022-01-07,0
213,Company_213,Education,Starter,2524,2023-10-11,1
214,Company_214,Ecommerce,Starter,6363,2023-03-06,0
215,Company_215,Healthcare,Enterprise,5514,2023-08-05,1
216,Company_216,Finance,Starter,1015,2023-11-22,1
217,Company_217,Education,Enterprise,7147,2023-05-13,0
218,Company_218,Finance,Enterprise,2064,2022-12-20,0
219,Company_219,Ecommerce,Growth,8833,2023-11-15,0
220,Company_220,Ecommerce,Starter,325,2022-07-29,1
221,Company_221,Healthcare,Growth,5575,2022-05-03,1
222,Company_222,Finance,Starter,6429,2023-06-30,0
223,Company_223,Healthcare,Starter,6705,2022-02-13,0
224,Company_224,IT,Growth,9633,2023-03-16,1
225,Company_225,Education,Growth,2087,2023-02-19,0
226,Company_226,Ecommerce,Growth,6128,2022-04-01,0
227,Company_227,Ecommerce,Growth,8784,2022-03-22,1
228,Company_228,Finance,Growth,2954,2022-03-20,0
229,Company_229,Finance,Growth,5952,2023-10-23,0
230,Company_230,Healthcare,Starter,3042,2023-09-09,0
231,Company_231,Education,Growth,9436,2023-08-17,0
232,Company_232,Ecommerce,Growth,5379,2022-06-04,0
233,Company_233,Healthcare,Growth,9889,2022-02-27,0
234,Company_234,Education,Growth,816,2022-02-28,0
235,Company_235,IT,Enterprise,9933,2023-06-04,0
236,Company_236,IT,Growth,9566,2023-10-30,0
237,Company_237,Ecommerce,Starter,1213,2023-04-07,1
238,Company_238,IT,Enterprise,3027,2022-02-10,1
239,Company_239,Ecommerce,Enterprise,2800,2023-01-08,0
240,Company_240,Healthcare,Enterprise,9995,2022-02-23,0
241,Company_241,IT,Enterprise,6533,2022-10-18,1
242,Company_242,Healthcare,Starter,9747,2023-11-11,0
243,Company_243,Education,Starter,9949,2022-03-28,0
244,Company_244,Healthcare,Starter,8824,2022-04-06,0
245,Company_245,IT,Growth,5260,2022-07-04,1
246,Company_246,Education,Starter,3911,2022-05-21,0
247,Company_247,IT,Enterprise,9043,2023-06-24,1
248,Company_248,Ecommerce,Starter,9985,2023-01-21,0
249,Company_249,Ecommerce,Starter,7370,2022-02-14,0
250,Company_250,Finance,Growth,4868,2023-04-05,0
251,Company_251,Education,Starter,6226,2023-11-26,0
252,Company_252,Healthcare,Growth,8439,2023-06-25,1
253,Company_253,Ecommerce,Starter,4296,2022-02-23,1
254,Company_254,Ecommerce,Starter,8652,2022-05-08,1
255,Company_255,Healthcare,Growth,8610,2022-05-31,1
256,Company_256,Finance,Growth,5927,2022-01-28,0
257,Company_257,Healthcare,Starter,6526,2022-03-25,0
258,Company_258,IT,Enterprise,5693,2022-05-30,0
259,Company_259,Education,Enterprise,2473,2023-04-26,0
260,Company_260,IT,Starter,511,2022-09-20,0
261,Company_261,Ecommerce,Enterprise,7134,2022-04-24,0
262,Company_262,IT,Starter,7078,2023-10-17,0
263,Company_263,Education,Enterprise,8982,2022-01-17,0
264,Company_264,Ecommerce,Starter,2552,2022-10-26,0
265,Company_265,Finance,Enterprise,7025,2022-07-11,0
266,Company_266,Healthcare,Starter,8818,2023-07-12,0
267,Company_267,Ecommerce,Starter,6597,2023-04-27,1
268,Company_268,Healthcare,Enterprise,466,2023-01-01,0
269,Company_269,IT,Enterprise,5647,2022-05-17,0
270,Company_270,Finance,Enterprise,7812,2023-05-06,1
271,Company_271,IT,Enterprise,7698,2022-02-07,0
272,Company_272,Finance,Starter,5370,2022-11-14,1
273,Company_273,Ecommerce,Growth,4350,2022-02-07,0
274,Company_274,IT,Enterprise,5638,2022-10-07,0
275,Company_275,Education,Enterprise,7404,2023-01-31,0
276,Company_276,Education,Growth,8707,2022-10-01,0
277,Company_277,Ecommerce,Starter,9137,2022-10-28,0
278,Company_278,Healthcare,Growth,7505,2023-09-10,0
279,Company_279,Education,Growth,7525,2022-02-13,0
280,Company_280,Education,Growth,1139,2022-03-18,0
281,Company_281,Finance,Starter,2539,2023-09-15,0
282,Company_282,IT,Starter,6201,2023-01-06,0
283,Company_283,Finance,Enterprise,7571,2023-01-15,1
284,Company_284,Ecommerce,Starter,8874,2023-01-11,0
285,Company_285,Finance,Starter,624,2022-07-10,0
286,Company_286,Education,Enterprise,2129,2022-09-26,0
287,Company_287,Ecommerce,Growth,8247,2022-07-24,1
288,Company_288,Education,Starter,7492,2022-03-31,0
289,Company_289,IT,Enterprise,9082,2022-10-25,1
290,Company_290,Finance,Growth,8535,2022-08-18,1
291,Company_291,Finance,Growth,630,2023-01-05,0
292,Company_292,Healthcare,Growth,9238,2022-05-13,0
293,Company_293,Education,Enterprise,8042,2023-06-23,1
294,Company_294,IT,Starter,5394,2023-10-20,0
295,Company_295,Ecommerce,Growth,2302,2023-07-19,0
296,Company_296,Finance,Starter,7288,2023-05-30,1
297,Company_297,Ecommerce,Starter,5182,2022-06-18,1
298,Company_298,Finance,Growth,8701,2022-10-18,1
299,Company_299,Finance,Enterprise,9224,2022-10-09,0
300,Company_300,IT,Enterprise,2962,2023-08-30,0
301,Company_301,Ecommerce,Enterprise,5731,2023-08-01,1
302,Company_302,IT,Starter,9649,2022-09-29,1
303,Company_303,Education,Enterprise,696,2023-05-25,0
304,Company_304,Healthcare,Enterprise,5149,2023-05-10,0
305,Company_305,IT,Enterprise,1181,2022-06-11,0
306,Company_306,Finance,Growth,2553,2022-11-17,1
307,Company_307,Healthcare,Growth,2342,2023-01-15,0
308,Company_308,IT,Growth,4160,2023-04-23,0
309,Company_309,Finance,Starter,1029,2022-10-25,0
310,Company_310,Finance,Growth,9664,2022-11-17,0
311,Company_311,Ecommerce,Growth,8371,2022-11-12,0
312,Company_312,Education,Enterprise,7691,2022-09-04,0
313,Company_313,IT,Growth,8308,2023-09-04,0
314,Company_314,IT,Starter,7260,2022-05-18,1
315,Company_315,Healthcare,Starter,6763,2022-02-22,0
316,Company_316,Finance,Growth,9264,2022-10-23,0
317,Company_317,Ecommerce,Growth,2146,2022-05-12,0
318,Company_318,Healthcare,Enterprise,6190,2022-05-28,0
319,Company_319,Ecommerce,Starter,942,2022-02-09,1
320,Company_320,Ecommerce,Growth,2640,2023-09-13,0
321,Company_321,Ecommerce,Growth,2862,2023-02-07,0
322,Company_322,Ecommerce,Enterprise,8921,2023-05-17,0
323,Company_323,Healthcare,Growth,472,2023-01-13,1
324,Company_324,Ecommerce,Growth,636,2023-09-04,1
325,Company_325,Ecommerce,Enterprise,3928,2022-02-22,0
326,Company_326,Ecommerce,Growth,2621,2023-11-29,0
327,Company_327,IT,Starter,510,2023-03-28,0
328,Company_328,Finance,Growth,8421,2023-09-19,1
329,Company_329,Ecommerce,Starter,9389,2022-11-29,0
330,Company_330,Healthcare,Starter,7731,2023-06-30,0
331,Company_331,Healthcare,Enterprise,8132,2022-07-16,0
332,Company_332,Finance,Growth,4935,2022-08-01,0
333,Company_333,Healthcare,Enterprise,4680,2022-10-22,0
334,Company_334,Education,Growth,5854,2022-05-30,0
335,Company_335,IT,Growth,7447,2023-11-03,0
336,Company_336,Ecommerce,Growth,9408,2022-10-06,0
337,Company_337,Ecommerce,Starter,4172,2022-02-21,0
338,Company_338,Finance,Enterprise,4014,2022-02-23,0
339,Company_339,Education,Starter,2452,2022-01-06,0
340,Company_340,Education,Growth,3467,2022-10-22,0
341,Company_341,IT,Enterprise,9606,2022-08-26,1
342,Company_342,Finance,Growth,3080,2022-02-07,0
343,Company_343,Healthcare,Starter,351,2022-11-02,0
344,Company_344,IT,Growth,4862,2023-04-11,0
345,Company_345,Ecommerce,Growth,2398,2023-06-01,0
346,Company_346,IT,Growth,2862,2023-04-15,1
347,Company_347,IT,Enterprise,5723,2022-10-30,0
348,Company_348,Education,Growth,8642,2022-12-02,0
349,Company_349,Finance,Starter,8022,2022-11-28,0
350,Company_350,Finance,Growth,4574,2022-12-04,1
351,Company_351,IT,Growth,6090,2022-08-30,1
352,Company_352,Education,Growth,2816,2023-02-20,0
353,Company_353,Healthcare,Enterprise,2123,2023-10-17,0
354,Company_354,Finance,Starter,8034,2022-06-06,0
355,Company_355,Healthcare,Growth,9198,2023-04-28,1
356,Company_356,Ecommerce,Starter,8809,2023-04-03,0
357,Company_357,Ecommerce,Starter,1211,2023-07-15,0
358,Company_358,Finance,Starter,5575,2023-06-17,0
359,Company_359,Ecommerce,Growth,1689,2023-06-07,0
360,Company_360,Ecommerce,Growth,7684,2023-08-01,0
361,Company_361,Healthcare,Enterprise,556,2023-02-10,1
362,Company_362,Ecommerce,Starter,942,2023-03-10,0
363,Company_363,IT,Starter,7934,2022-02-02,0
364,Company_364,Finance,Enterprise,7087,2023-01-19,1
365,Company_365,Education,Growth,1514,2023-12-01,0
366,Company_366,Finance,Enterprise,5897,2022-05-02,0
367,Company_367,Finance,Enterprise,3848,2022-01-04,1
368,Company_368,Education,Enterprise,9120,2023-03-11,1
369,Company_369,Finance,Growth,5871,2022-06-08,1
370,Company_370,IT,Starter,7068,2023-09-22,1
371,Company_371,Finance,Starter,1853,2023-09-01,0
372,Company_372,IT,Starter,924,2023-02-16,0
373,Company_373,IT,Starter,8455,2022-10-24,0
374,Company_374,Ecommerce,Enterprise,5453,2022-08-31,1
375,Company_375,Ecommerce,Starter,6975,2022-11-04,0
376,Company_376,Ecommerce,Enterprise,3069,2023-10-04,0
377,Company_377,IT,Growth,6444,2023-06-22,0
378,Company_378,Healthcare,Growth,3212,2023-07-05,1
379,Company_379,Healthcare,Enterprise,2565,2023-04-20,0
380,Company_380,Education,Enterprise,8883,2022-05-18,0
381,Company_381,Healthcare,Enterprise,1495,2023-04-06,0
382,Company_382,Finance,Starter,4598,2023-01-22,0
383,Company_383,Ecommerce,Starter,1392,2022-07-12,0
384,Company_384,Finance,Growth,3622,2022-12-07,0
385,Company_385,Finance,Enterprise,2122,2023-05-06,1
386,Company_386,Education,Starter,9245,2022-11-26,0
387,Company_387,Healthcare,Growth,4485,2023-01-04,0
388,Company_388,Education,Growth,3528,2023-01-15,0
389,Company_389,Finance,Enterprise,2590,2022-01-17,1
390,Company_390,Ecommerce,Enterprise,7041,2022-10-30,0
391,Company_391,Education,Enterprise,4226,2023-05-27,0
392,Company_392,Education,Enterprise,8237,2023-04-17,0
393,Company_393,Ecommerce,Growth,3215,2023-07-10,0
394,Company_394,IT,Enterprise,994,2022-01-07,1
395,Company_395,Finance,Starter,2674,2022-01-10,0
396,Company_396,IT,Enterprise,8116,2023-11-07,0
397,Company_397,Ecommerce,Growth,394,2022-01-18,0
398,Company_398,Healthcare,Starter,8428,2023-11-22,0
399,Company_399,IT,Enterprise,2639,2022-09-04,0
400,Company_400,Healthcare,Growth,6702,2022-03-22,0
401,Company_401,Finance,Enterprise,3900,2022-11-04,0
402,Company_402,IT,Starter,6840,2023-01-24,0
403,Company_403,IT,Enterprise,3007,2022-03-26,0
404,Company_404,Healthcare,Enterprise,1762,2023-06-25,1
405,Company_405,Finance,Enterprise,9486,2023-05-02,1
406,Company_406,Healthcare,Enterprise,9432,2023-11-05,1
407,Company_407,Healthcare,Starter,3594,2023-08-25,1
408,Company_408,Healthcare,Starter,9439,2022-09-04,0
409,Company_409,Ecommerce,Growth,6488,2022-05-24,0
410,Company_410,Healthcare,Starter,1800,2023-03-24,0
411,Company_411,Ecommerce,Enterprise,6699,2022-12-01,1
412,Company_412,Education,Growth,3937,2022-12-31,0
413,Company_413,Ecommerce,Enterprise,6427,2022-03-29,1
414,Company_414,IT,Starter,4590,2022-06-07,1
415,Company_415,Healthcare,Growth,1945,2022-04-04,1
416,Company_416,Education,Growth,4619,2022-04-15,0
417,Company_417,Education,Enterprise,9288,2023-06-09,0
418,Company_418,Healthcare,Enterprise,1724,2023-09-04,1
419,Company_419,IT,Growth,6979,2023-02-02,1
420,Company_420,Finance,Enterprise,8737,2022-06-23,0
421,Company_421,Healthcare,Growth,4597,2023-05-20,0
422,Company_422,Healthcare,Growth,5111,2023-05-11,0
423,Company_423,Finance,Enterprise,8323,2023-09-01,0
424,Company_424,Finance,Growth,310,2023-02-10,0
425,Company_425,Healthcare,Growth,5684,2023-03-17,0
426,Company_426,Finance,Growth,5453,2023-09-10,0
427,Company_427,Finance,Growth,5428,2022-10-26,1
428,Company_428,Finance,Growth,6361,2022-10-15,0
429,Company_429,Ecommerce,Starter,9903,2023-07-13,0
430,Company_430,Education,Enterprise,3634,2023-03-25,1
431,Company_431,Education,Enterprise,8380,2022-05-23,0
432,Company_432,Finance,Enterprise,7132,2023-01-22,1
433,Company_433,Education,Enterprise,6766,2023-07-02,0
434,Company_434,Healthcare,Enterprise,8996,2023-09-01,0
435,Company_435,Finance,Enterprise,6016,2022-06-20,0
436,Company_436,IT,Enterprise,6747,2022-12-06,0
437,Company_437,Healthcare,Starter,8566,2023-06-16,0
438,Company_438,Ecommerce,Starter,7503,2023-01-19,1
439,Company_439,Ecommerce,Enterprise,8399,2022-06-04,0
440,Company_440,Healthcare,Growth,1606,2022-04-29,0
441,Company_441,Healthcare,Growth,3589,2023-06-18,0
442,Company_442,Education,Enterprise,7612,2022-11-23,1
443,Company_443,IT,Enterprise,2085,2022-01-24,0
444,Company_444,Finance,Enterprise,4196,2023-06-13,0
445,Company_445,Ecommerce,Growth,7770,2022-08-26,0
446,Company_446,Education,Growth,678,2023-09-21,0
447,Company_447,Education,Starter,3719,2022-07-30,0
448,Company_448,Ecommerce,Starter,6193,2022-11-30,0
449,Company_449,Education,Enterprise,5334,2023-09-04,0
450,Company_450,IT,Growth,5966,2023-04-14,1
451,Company_451,Healthcare,Enterprise,9869,2022-03-28,0
452,Company_452,Finance,Growth,2116,2022-07-07,0
453,Company_453,Education,Enterprise,2458,2023-08-12,0
454,Company_454,Ecommerce,Enterprise,3038,2023-07-23,0
455,Company_455,Finance,Growth,7589,2023-09-27,1
456,Company_456,Education,Starter,3396,2023-01-29,0
457,Company_457,Education,Growth,8256,2023-03-02,0
458,Company_458,IT,Enterprise,705,2022-08-14,0
459,Company_459,Ecommerce,Growth,2955,2023-04-14,0
460,Company_460,IT,Enterprise,2071,2022-10-02,0
461,Company_461,IT,Enterprise,7431,2023-07-14,0
462,Company_462,Finance,Growth,728,2023-04-06,1
463,Company_463,IT,Growth,2123,2022-08-31,0
464,Company_464,Ecommerce,Enterprise,7215,2022-06-19,1
465,Company_465,Finance,Starter,9540,2022-12-26,0
466,Company_466,Finance,Growth,4994,2022-10-24,1
467,Company_467,Ecommerce,Enterprise,1760,2022-05-19,1
468,Company_468,Finance,Enterprise,2374,2022-09-13,1
469,Company_469,Education,Growth,2529,2023-08-15,0
470,Company_470,Education,Growth,1437,2023-10-11,0
471,Company_471,Healthcare,Enterprise,6246,2023-04-11,0
472,Company_472,IT,Enterprise,7711,2023-10-13,1
473,Company_473,Ecommerce,Growth,3768,2023-03-16,0
474,Company_474,Healthcare,Growth,9167,2023-08-15,1
475,Company_475,Healthcare,Enterprise,993,2022-02-17,0
476,Company_476,Finance,Growth,7679,2022-01-01,1
477,Company_477,Finance,Enterprise,5145,2022-06-12,0
478,Company_478,Healthcare,Starter,6292,2023-11-12,0
479,Company_479,Healthcare,Enterprise,4036,2023-03-16,1
480,Company_480,IT,Starter,8012,2022-03-21,0
481,Company_481,Education,Starter,332,2022-12-18,0
482,Company_482,Education,Starter,3951,2023-01-28,1
483,Company_483,IT,Growth,6222,2022-11-03,1
484,Company_484,Finance,Enterprise,2540,2022-03-12,0
485,Company_485,IT,Enterprise,2888,2023-03-27,0
486,Company_486,Finance,Growth,7448,2022-08-11,1
487,Company_487,Finance,Starter,9859,2023-01-29,0
488,Company_488,Finance,Starter,4737,2023-10-23,1
489,Company_489,Ecommerce,Enterprise,4868,2022-01-28,0
490,Company_490,Ecommerce,Enterprise,3290,2023-02-06,1
491,Company_491,Finance,Growth,6522,2022-04-26,0
492,Company_492,IT,Enterprise,397,2023-01-05,0
493,Company_493,Ecommerce,Growth,6186,2023-07-14,1
